iter	Passed	Remaining
0	343	342893
1	345	172631
2	348	115851
3	352	87786
4	355	70754
5	358	59344
6	360	51205
7	368	45729
8	371	40906
9	373	37017
10	377	33916
11	385	31743
12	388	29485
13	391	27547
14	393	25858
15	396	24387
16	399	23084
17	401	21921
18	404	20881
19	410	20117
20	413	19266
21	415	18491
22	418	17778
23	422	17191
24	425	16577
25	426	15992
26	428	15448
27	430	14942
28	432	14472
29	434	14061
30	437	13689
31	439	13306
32	441	12945
33	443	12603
34	445	12279
35	447	11973
36	450	11725
37	452	11458
38	455	11213
39	457	10969
40	458	10735
41	461	10516
42	464	10336
43	467	10154
44	470	9975
45	471	9785
46	473	9604
47	475	9433
48	477	9266
49	480	9127
50	482	8982
51	484	8838
52	486	8699
53	490	8601
54	496	8524
55	498	8410
56	500	8283
57	502	8163
58	504	8048
59	506	7933
60	508	7830
61	510	7726
62	512	7621
63	514	7521
64	516	7423
65	517	7327
66	519	7235
67	520	7134
68	522	7050
69	524	6967
70	526	6884
71	527	6803
72	529	6724
73	531	6648
74	533	6574
75	534	6502
76	536	6431
77	539	6374
78	541	6308
79	542	6242
80	544	6177
81	546	6114
82	547	6053
83	549	5993
84	550	5928
85	552	5875
86	554	5814
87	555	5760
88	557	5708
89	559	5656
90	561	5605
91	562	5555
92	564	5505
93	566	5459
94	568	5414
95	570	5368
96	571	5323
97	573	5280
98	575	5237
99	577	5194
100	579	5156
101	580	5109
102	582	5069
103	583	5031
104	585	4992
105	587	4955
106	589	4918
107	591	4881
108	592	4846
109	594	4811
110	596	4776
111	598	4743
112	600	4710
113	601	4676
114	603	4644
115	604	4610
116	606	4579
117	608	4551
118	610	4519
119	612	4490
120	614	4461
121	615	4433
122	616	4398
123	618	4371
124	620	4345
125	622	4318
126	624	4293
127	625	4263
128	627	4239
129	629	4215
130	631	4190
131	633	4165
132	635	4140
133	636	4115
134	638	4091
135	640	4067
136	642	4047
137	644	4023
138	645	4001
139	647	3978
140	649	3956
141	651	3934
142	652	3912
143	654	3891
144	656	3872
145	658	3853
146	660	3832
147	662	3812
148	664	3793
149	665	3773
150	667	3754
151	669	3734
152	671	3718
153	673	3700
154	675	3681
155	676	3662
156	678	3644
157	680	3626
158	682	3608
159	684	3591
160	686	3575
161	688	3559
162	689	3542
163	691	3526
164	693	3509
165	695	3493
166	697	3476
167	699	3464
168	701	3450
169	703	3435
170	705	3419
171	707	3404
172	708	3388
173	710	3373
174	712	3360
175	714	3345
176	716	3330
177	718	3315
178	719	3301
179	721	3287
180	722	3269
181	724	3254
182	725	3240
183	728	3229
184	730	3217
185	732	3206
186	734	3194
187	736	3181
188	738	3167
189	740	3155
190	742	3143
191	743	3130
192	745	3118
193	747	3106
194	749	3094
195	751	3082
196	753	3069
197	755	3058
198	756	3046
199	758	3034
200	760	3022
201	762	3010
202	763	2999
203	765	2988
204	767	2976
205	769	2965
206	771	2953
207	772	2942
208	774	2931
209	776	2920
210	778	2909
211	779	2898
212	781	2887
213	783	2879
214	785	2869
215	787	2858
216	789	2848
217	790	2837
218	792	2827
219	794	2817
220	796	2806
221	798	2796
222	799	2787
223	801	2777
224	803	2767
225	805	2757
226	806	2747
227	808	2737
228	810	2728
229	812	2719
230	813	2709
231	815	2700
232	817	2690
233	819	2681
234	820	2671
235	822	2663
236	824	2654
237	826	2645
238	828	2636
239	829	2627
240	831	2618
241	833	2609
242	834	2601
243	836	2592
244	838	2584
245	840	2576
246	842	2567
247	844	2559
248	845	2550
249	847	2542
250	849	2534
251	850	2525
252	853	2518
253	855	2514
254	859	2510
255	861	2503
256	863	2496
257	865	2488
258	867	2482
259	869	2474
260	871	2466
261	872	2458
262	874	2450
263	876	2443
264	878	2435
265	879	2428
266	882	2421
267	884	2415
268	885	2407
269	887	2399
270	889	2392
271	891	2384
272	892	2377
273	894	2370
274	896	2363
275	898	2356
276	900	2349
277	901	2342
278	903	2335
279	905	2328
280	907	2321
281	909	2314
282	910	2308
283	912	2301
284	914	2294
285	916	2287
286	918	2280
287	919	2274
288	921	2267
289	923	2260
290	925	2254
291	927	2247
292	928	2241
293	930	2234
294	932	2228
295	934	2222
296	936	2215
297	938	2211
298	941	2207
299	943	2202
300	945	2196
301	947	2190
302	949	2183
303	951	2178
304	953	2171
305	955	2166
306	956	2159
307	959	2154
308	960	2148
309	962	2142
310	964	2136
311	966	2130
312	967	2124
313	969	2118
314	971	2112
315	973	2107
316	975	2101
317	976	2095
318	978	2089
319	980	2083
320	981	2077
321	983	2071
322	985	2065
323	987	2060
324	989	2054
325	990	2048
326	992	2043
327	994	2037
328	996	2031
329	997	2025
330	999	2020
331	1001	2014
332	1003	2009
333	1005	2004
334	1007	1999
335	1008	1993
336	1010	1987
337	1012	1982
338	1014	1977
339	1016	1972
340	1018	1967
341	1019	1962
342	1021	1956
343	1023	1951
344	1024	1945
345	1026	1940
346	1028	1936
347	1030	1930
348	1032	1925
349	1034	1920
350	1035	1914
351	1037	1909
352	1039	1904
353	1040	1899
354	1042	1894
355	1044	1889
356	1046	1884
357	1048	1880
358	1050	1874
359	1051	1869
360	1053	1864
361	1055	1859
362	1057	1855
363	1059	1850
364	1060	1845
365	1062	1840
366	1064	1836
367	1066	1831
368	1068	1826
369	1069	1821
370	1072	1817
371	1074	1813
372	1076	1809
373	1079	1806
374	1081	1801
375	1082	1797
376	1084	1792
377	1087	1788
378	1089	1784
379	1091	1780
380	1093	1776
381	1095	1771
382	1096	1767
383	1098	1762
384	1100	1757
385	1102	1753
386	1103	1748
387	1105	1744
388	1107	1739
389	1109	1735
390	1111	1730
391	1113	1726
392	1114	1722
393	1116	1717
394	1118	1713
395	1120	1708
396	1122	1704
397	1123	1699
398	1125	1695
399	1127	1691
400	1129	1687
401	1131	1683
402	1133	1678
403	1135	1674
404	1136	1670
405	1138	1666
406	1140	1661
407	1142	1658
408	1144	1654
409	1146	1649
410	1148	1645
411	1149	1641
412	1151	1636
413	1153	1632
414	1155	1629
415	1157	1625
416	1159	1620
417	1161	1616
418	1162	1612
419	1164	1608
420	1166	1604
421	1168	1600
422	1170	1596
423	1172	1593
424	1174	1588
425	1176	1584
426	1177	1580
427	1179	1576
428	1181	1572
429	1182	1568
430	1184	1564
431	1186	1560
432	1188	1556
433	1190	1552
434	1192	1548
435	1193	1544
436	1195	1540
437	1197	1536
438	1199	1532
439	1200	1528
440	1202	1524
441	1204	1520
442	1206	1516
443	1207	1512
444	1209	1508
445	1211	1504
446	1214	1502
447	1216	1499
448	1218	1495
449	1220	1491
450	1222	1487
451	1223	1483
452	1225	1480
453	1227	1476
454	1229	1472
455	1231	1468
456	1233	1465
457	1234	1461
458	1236	1457
459	1238	1453
460	1240	1450
461	1242	1446
462	1244	1443
463	1246	1439
464	1248	1435
465	1249	1432
466	1251	1428
467	1253	1424
468	1255	1421
469	1258	1418
470	1260	1415
471	1262	1411
472	1264	1408
473	1266	1405
474	1268	1402
475	1271	1399
476	1273	1396
477	1274	1392
478	1276	1388
479	1278	1385
480	1280	1381
481	1282	1377
482	1283	1374
483	1285	1370
484	1287	1367
485	1289	1363
486	1291	1360
487	1292	1356
488	1294	1352
489	1296	1349
490	1298	1345
491	1299	1342
492	1301	1338
493	1303	1335
494	1305	1331
495	1306	1328
496	1308	1324
497	1310	1321
498	1312	1317
499	1314	1314
500	1316	1310
501	1317	1307
502	1319	1304
503	1321	1300
504	1323	1297
505	1325	1294
506	1327	1290
507	1329	1287
508	1330	1283
509	1332	1280
510	1334	1277
511	1336	1273
512	1338	1270
513	1341	1267
514	1342	1264
515	1344	1261
516	1346	1257
517	1348	1254
518	1349	1251
519	1351	1247
520	1353	1244
521	1355	1241
522	1357	1237
523	1358	1234
524	1360	1231
525	1362	1227
526	1364	1224
527	1365	1221
528	1368	1218
529	1369	1214
530	1371	1211
531	1373	1208
532	1375	1204
533	1376	1201
534	1378	1198
535	1380	1195
536	1382	1191
537	1384	1188
538	1385	1185
539	1387	1181
540	1389	1178
541	1390	1175
542	1392	1172
543	1394	1169
544	1396	1165
545	1398	1162
546	1399	1159
547	1401	1156
548	1403	1152
549	1405	1149
550	1406	1146
551	1408	1143
552	1411	1140
553	1413	1137
554	1414	1134
555	1416	1131
556	1418	1128
557	1420	1124
558	1421	1121
559	1424	1119
560	1426	1116
561	1428	1112
562	1429	1109
563	1431	1106
564	1433	1103
565	1435	1100
566	1436	1097
567	1439	1094
568	1441	1091
569	1442	1088
570	1444	1085
571	1446	1082
572	1448	1079
573	1449	1076
574	1451	1072
575	1454	1070
576	1456	1068
577	1459	1065
578	1460	1062
579	1462	1059
580	1464	1056
581	1466	1053
582	1468	1050
583	1470	1047
584	1471	1044
585	1473	1040
586	1475	1037
587	1476	1034
588	1478	1031
589	1480	1028
590	1482	1025
591	1484	1022
592	1485	1019
593	1487	1016
594	1489	1013
595	1491	1010
596	1492	1007
597	1494	1004
598	1496	1001
599	1498	998
600	1500	996
601	1502	993
602	1504	990
603	1505	987
604	1507	984
605	1509	981
606	1511	978
607	1513	975
608	1515	973
609	1517	970
610	1519	967
611	1520	964
612	1522	961
613	1524	958
614	1526	955
615	1528	952
616	1529	949
617	1531	946
618	1533	943
619	1535	940
620	1536	937
621	1538	935
622	1541	932
623	1543	929
624	1544	926
625	1546	924
626	1547	920
627	1549	917
628	1551	915
629	1553	912
630	1555	909
631	1556	906
632	1558	903
633	1560	900
634	1561	897
635	1563	894
636	1565	892
637	1567	889
638	1568	886
639	1570	883
640	1572	880
641	1574	877
642	1576	875
643	1578	872
644	1579	869
645	1582	867
646	1584	864
647	1586	861
648	1588	859
649	1590	856
650	1592	853
651	1593	850
652	1596	848
653	1597	845
654	1599	842
655	1601	839
656	1603	836
657	1604	834
658	1606	831
659	1608	828
660	1610	825
661	1612	823
662	1613	820
