iter	Passed	Remaining
0	1	1997
1	3	1822
2	5	1740
3	7	1817
4	9	1915
5	11	1869
6	12	1841
7	14	1816
8	16	1815
9	18	1808
10	20	1807
11	22	1889
12	25	1915
13	27	1965
14	29	1951
15	32	1998
16	34	2006
17	37	2037
18	40	2079
19	41	2053
20	43	2030
21	45	2013
22	47	2005
23	48	1985
24	50	1964
25	53	1987
26	55	1992
27	56	1976
28	58	1959
29	60	1943
30	61	1929
31	63	1914
32	64	1902
33	67	1906
34	69	1920
35	71	1910
36	72	1898
37	75	1903
38	76	1892
39	78	1881
40	79	1871
41	83	1908
42	85	1906
43	87	1900
44	91	1932
45	93	1935
46	94	1924
47	100	1990
48	103	2001
49	105	1999
50	107	1991
51	108	1983
52	111	1985
53	113	1989
54	115	1984
55	117	1983
56	119	1978
57	121	1967
58	122	1958
59	124	1948
60	126	1951
61	129	1952
62	131	1950
63	132	1940
64	134	1936
65	136	1928
66	138	1926
67	140	1919
68	142	1925
69	144	1926
70	146	1918
71	148	1910
72	149	1902
73	151	1894
74	153	1888
75	154	1882
76	156	1881
77	159	1879
78	160	1873
79	162	1866
80	163	1859
81	165	1854
82	166	1840
83	168	1841
84	170	1839
85	173	1841
86	175	1837
87	176	1834
88	178	1832
89	181	1831
90	182	1826
91	184	1821
92	187	1833
93	190	1836
94	192	1831
95	193	1826
96	195	1823
97	198	1825
98	199	1819
99	202	1820
100	204	1821
101	206	1815
102	207	1810
103	209	1804
104	211	1800
105	212	1794
106	214	1789
107	216	1787
108	218	1789
109	220	1788
110	222	1782
111	224	1777
112	226	1774
113	227	1769
114	229	1763
115	231	1761
116	233	1759
117	235	1758
118	236	1754
119	238	1749
120	240	1745
121	241	1739
122	243	1734
123	244	1729
124	247	1730
125	249	1730
126	250	1724
127	252	1720
128	254	1717
129	255	1713
130	257	1708
131	259	1703
132	261	1701
133	263	1704
134	265	1703
135	267	1698
136	269	1698
137	271	1695
138	273	1694
139	275	1692
140	277	1692
141	278	1685
142	280	1683
143	283	1688
144	285	1684
145	287	1679
146	288	1675
147	290	1672
148	293	1674
149	295	1673
150	297	1670
151	298	1666
152	300	1662
153	301	1657
154	303	1654
155	305	1650
156	307	1651
157	309	1650
158	311	1648
159	313	1645
160	314	1638
161	316	1634
162	317	1631
163	319	1629
164	322	1631
165	324	1630
166	326	1626
167	327	1622
168	329	1619
169	331	1616
170	332	1614
